"","region_en","year","level","average_nominal_monthly_salary","average_percapita_income","average_size_of_pensions","crude_birth_rate","gross_regional_product","infant_mortality_rate","life_expectancy_men","life_expectancy_total","life_expectancy_women","mortality_rate","number_of_theater_goers_per_1000_population","number_of_visits_to_museums_per_1000_population","planar_sports_facilities_(playgrounds_and_fields)","population_rural","population_total","population_urban","publication_of_newspapers_per_1000_people","sports_halls","stadiums_with_stands_for_1500_seats_or_more","swimming_pools"
"1","Adygea",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,432,225,NA,NA,NA,NA
"2","Adygea",1990,"region",NA,NA,NA,14.2,NA,17.2,NA,NA,NA,12.3,500,267,NA,NA,NA,NA,NA,NA,NA,NA
"3","Adygea",1995,"region",NA,274,NA,10.7,NA,18.7,NA,NA,NA,14.4,153,72,360,NA,NA,NA,176,139,3,NA
"4","Adygea",2000,"region",1302.5,1385,766.5,9.1,NA,16.3,62.07,67.6,73.26,15,87,133,NA,NA,NA,NA,205,NA,NA,NA
"5","Adygea",2001,"region",1832.1,1642,1062.8,9.4,NA,8.1,NA,NA,NA,14.7,145,149,NA,NA,NA,NA,327,NA,NA,NA
"6","Adygea",2002,"region",2612.6,2167,1348.7,10.2,NA,10.5,NA,NA,NA,15,97,134,NA,212,447,235,392,NA,NA,NA
"7","Adygea",2003,"region",3317.5,2549,1607.2,10.4,NA,10.8,NA,NA,NA,15.5,101,136,NA,NA,NA,NA,346,NA,NA,NA
"8","Adygea",2004,"region",4266.3,3080,1835.7,10.4,NA,14.4,NA,NA,NA,14.9,117,119,NA,NA,NA,NA,273,NA,NA,NA
"9","Adygea",2005,"region",5123,3880,2302.2,10.3,NA,10.7,61.91,68.05,74.57,15.2,121,130,202,NA,NA,NA,344,172,2,NA
"10","Adygea",2006,"region",6414.4,4707,2567,10.4,NA,8,NA,NA,NA,15.1,106,135,NA,NA,NA,NA,337,NA,NA,NA
"11","Adygea",2007,"region",8056.4,5763,3347.6,11.8,NA,9,NA,NA,NA,14.6,130,136,NA,NA,NA,NA,329,NA,NA,NA
"12","Adygea",2008,"region",10096.9,7986,4096.8,12.7,NA,8.5,NA,NA,NA,14.8,105,147,NA,NA,NA,NA,346,NA,NA,NA
"13","Adygea",2009,"region",11547.6,10475,5562,12.4,NA,7.2,64.38,69.97,75.63,14,82,141,350,NA,NA,NA,362,192,3,NA
"14","Adygea",2010,"region",12787.4,12236,6786.1,12.9,NA,7.3,NA,NA,NA,14.1,96,74,383,216,440,224,64,203,3,NA
"15","Adygea",2011,"region",14344.9,NA,7358.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Altai Republic",1989,"region",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,191,52,NA,NA,NA,NA
"17","Altai Republic",1990,"region",NA,NA,NA,19.3,NA,31.3,NA,NA,NA,10.9,134,33,NA,NA,NA,NA,NA,NA,NA,NA
"18","Altai Republic",1995,"region",NA,319,NA,14.3,NA,27.9,NA,NA,NA,13.2,90,84,47,NA,NA,NA,110,68,9,NA
"19","Altai Republic",2000,"region",1248.2,1182,789.3,14.3,NA,23.6,56.76,62.83,69.47,13,11,124,NA,NA,NA,NA,730,NA,NA,NA
"20","Altai Republic",2001,"region",1902.3,1620,1001,14.9,NA,19.9,NA,NA,NA,14.1,24,151,NA,NA,NA,NA,148,NA,NA,NA
